TEXT,SENTIMENT
httptwitpiccom2y1zl awww thats bummer shoulda get david carr third day ,0
upset cant update facebook texting might cry result school today also blah ,0
dive many time ball managed save 50 rest go bound ,0
whole body feel itchy like fire ,0
behave im mad cant see ,0
whole crew ,0
need hug ,0
hey long time see yes rains bit bit lol im fine thanks hows ,0
nope didnt ,0
que muera ,0
spring break plain city snowing ,0
repierced ear ,0
couldnt bear watch think ua loss embarrass ,0
count idk either never talk anymore ,0
wouldve first didnt gun really though zac snyders doucheclown ,0
wish get watch miss premiere ,0
hollis death scene hurt severely watch film wry director cut ,0
file tax ,0
ahh ive always want see rent love soundtrack ,0
oh dear drink forgotten table drink ,0
day didnt get much ,0
one friend call ask meet mid valley todaybut ive time sigh ,0
bake cake ated ,0
week go hop ,0
blagh class 8 tomorrow ,0
hate call wake people ,0
go cry sleep watch marley ,0
im sad misslilly ,0
ooooh lol leslie ok wont leslie wont get mad ,0
meh almost lover exception track get depressed every time ,0
some1 hack account aim make new one ,0
want go promote gear groove unfornately ride may b go one anaheim may though ,0
think sleep option tomorrow realize evaluation morning work afternoon ,0
awe love 1 miss ,0
cry asian eye sleep night ,0
ok im sick spend hour sit shower cause sick stand hold back puke like champ bed ,0
ill tell ya story late good day ill workin like three hour ,0
sorry bed time come gmt1 httpisgdfnge ,0
dont either depressing dont think even want know kid suitcase ,0
bed class 812 work 123 gym 35 6 class 610 another day thats gonna fly miss girlfriend ,0
really dont feel like get today get study tomorrow practical exam ,0
hes reason teardrop guitar one enough break heart ,0
sad sad sad dont know hate feeling wanna sleep still cant ,0
awww soo wish see finally comfortable im sad miss ,0
falling asleep heard tracy girl body find sad heart break family ,0
yay im happy job also mean less time ,0
check user timeline blackberry look like twanking still happen ppl still probs w bgs uids ,0
oh manwas iron fave top wear meeting burnt ,0
strangely sad lilo samro break ,0
oh im sorry didnt think retweeting ,0
broadband plan massive broken promise httptinyurlcomdcuc33 via wwwdiigocomtautao still wait broadband ,0
wow ton reply may unfollow see friend tweet youre scroll feed lot ,0
duck chicken take wayyy long hatch ,0
put vacation photo online yr ago pc crash forget name site ,0
need hug ,0
sure pos much want dont think trade away company asset sorry andy ,0
hate happen ,0
sad feeling dallas go show gotta say though youd think show would use music game mmm ,0
ugh92 degree tomorrow ,0
u move think u already sd hmmm random u find glad hear yer well ,0
miss ps3 commission wutcha playing cop blood sand ,0
leave parking lot work ,0
life cool ,0
sadly though ive never get experience post coitus cigarette never ,0
nice day bad rain come tomorrow 5am ,0
bad wont around lose job cant even pay phone bill lmao aw shuck ,0
damm back school tomorrow ,0
mo job money hell min wage 4 fn clam hour ,0
forever see soon ,0
agree saw failwhale allllll day today ,0
oh haha dude dont really look em unless someone say hey added sorry im terrible need pop ,0
im sure youre right need start work nikster jared least ,0
really hate people diss band trace clearly ugly ,0
gym attire today puma singlet adidas shortsand black business sock leather shoe lucky run cute girl ,0
wont show location httptwitpiccom2y2es ,0
picnic phone smell like citrus ,0
donkey sensitive comment nevertheless hed med glad see mug asap charger still awol ,0
new csi tonight fml ,0
think arm sore tennis ,0
wonder someone u like much make unhappy split seccond depress ,0
sleep soon hate say bye see tomorrow night ,0
get ur newsletter fare really unbelievable shame already book pay mine ,0
missin boo ,0
itm ,0
damn dont chalk chalkboard useless ,0
blast getty villa hat shes sore throat day get bad ,0
hey miss ya meeting sup mama ,0
tummy hurt wonder hypnosis anything working get stop smoking ,0
always fat one ,0
sorry babe fam annoy thankfully theyre asleep right muahaha evil laugh ,0
pay attention cover photoshop webpage design class undergrad ,0
wednesday bday dont know 2 ,0
poor cameron hill ,0
pray please ex threaten start sh myour baby 1st birthday party jerk still headache ,0
hmm u really enjoy problem constant u think thing find someone ulike ,0
