text,sentiment
awww bummer shoulda get david carr third day ,0
upset update facebook texting ... might cry result school today also blah ,0
dive many time ball managed save 50 rest go bound ,0
whole body feel itchy like fire ,0
behave mad see ,0
whole crew ,0
need hug ,0
hey long time see yes .. rains bit bit lol fine thanks ,0
nope ,0
que muera ,0
spring break plain city ... snowing ,0
pierce ear ,0
bear watch think ua loss embarrass ,0
count idk either never talk anymore ,0
would first gun really though zac snyder doucheclown ,0
wish get watch !! miss premiere ?! ,0
hollis death scene hurt severely watch film wry director cut ,0
file tax ,0
ahh ive always want see rent love soundtrack !! ,0
oh dear drink forgotten table drink ,0
day get much ,0
one friend call ask meet mid valley today ... time sigh ,0
bake cake ated ,0
week go hop ,0
blagh class 8 tomorrow ,0
hate call wake people ,0
go cry sleep watch marley ,0
im sad miss lilly ,0
ooooh .... lol leslie .... ok win leslie get mad ,0
meh ... almost lover exception ... track get depressed every time ,0
some1 hack account aim make new one ,0
want go promote gear groove unfornately ride may b go one anaheim may though ,0
think sleep option tomorrow realize evaluation morning work afternoon ,0
awe love !!!! 1 miss ,0
cry asian eye sleep night ,0
ok sick spend hour sit shower cause sick stand hold back puke like champ bed ,0
ill tell ya story late good day ill workin like three hour ... ,0
sorry bed time come gmt 1 ,0
either depressing think even want know kid suitcase ,0
bed class 8 12 work 12 3 gym 3 5 6 class 6 10 another day gonna fly miss girlfriend ,0
really feel like get today ... get study tomorrow practical exam ... ,0
reason teardrop guitar one enough break heart ,0
sad sad sad know hate feeling wanna sleep still ,0
awww soo wish see finally comfortable im sad miss ,0
falling asleep heard tracy girl body find sad heart break family ,0
yay happy job also mean less time ... ,0
check user timeline blackberry look like twanking still happen ppl still probs w bgs uids ,0
oh man ... iron fave top wear meeting burnt ,0
strangely sad lilo samro break ,0
oh sorry think retweeting ,0
broadband plan massive broken promise via www diigo com /~ tautao still wait broadband ,0
wow ton reply may unfollow see friend tweet scroll feed lot ,0
duck chicken take wayyy long hatch ,0
put vacation photo online yr ago pc crash forget name site ,0
need hug ,0
sure pos much want dont think trade away company asset sorry andy ,0
hate happen ... ,0
sad feeling dallas go show gotta say though think show would use music game mmm ,0
ugh .... 92 degree tomorrow ,0
u move think u already sd ?? hmmm random u find glad hear yer well ,0
miss ps3 commission wutcha playing cop blood sand '? ,0
leave parking lot work ,0
life cool ,0
sadly though never get experience post coitus cigarette never ,0
nice day bad rain come tomorrow 5am ,0
bad win around lose job even pay phone bill lmao aw shuck ,0
damm back school tomorrow ,0
mo job money hell min wage 4 f n clam hour ,0
forever ... see soon ,0
agree saw failwhale allllll day today ,0
oh haha ... dude dont really look em unless someone say hey added sorry terrible need pop ,0
sure right ... need start work nikster ... jared least ,0
really hate people diss band trace clearly ugly ,0
gym attire today puma singlet adidas short ....... black business sock leather shoe lucky run cute girl ,0
win show location ?! ,0
picnic phone smell like citrus ,0
donkey sensitive comment nevertheless glad see mug asap charger still awol ,0
new csi tonight fml ,0
think arm sore tennis ,0
wonder someone u like much make unhappy split seccond depress ,0
sleep soon ... hate say bye see tomorrow night ,0
get ur newsletter fare really unbelievable shame already book pay mine ,0
missin boo ,0
itm ,0
damn ... chalk chalkboard useless ,0
blast getty villa hat sore throat day get bad ,0
hey miss ya meeting sup mama ,0
tummy hurt wonder hypnosis anything working get stop smoking !!! ,0
always fat one ?! ,0
sorry babe !! fam annoy thankfully asleep right muahaha evil laugh ,0
pay attention cover photoshop webpage design class undergrad ,0
wednesday b day know 2 !! ,0
poor cameron hill ,0
pray please ex threaten start sh ** baby 1st birthday party jerk still headache ,0
hmm u really enjoy problem constant u think thing find someone ulike ,0
strider sick little puppy ,0
rylee grace ... wana go steve party ?? sadly since easter wnt b able 2 much ohh well ..... ,0
hey actually win one bracket pool bad one money ,0
follow either work ,0
bad nite favorite team astros spartans lose nite w good ,0
body missing northern calif girl found police find remains miss northern california girl .. ,0
hope increase capacity fast yesterday pain got fail whale 15 time 2 hour .... ,0
behind class work ,0
watch quot house quot ,0
remember bum leg strikes back time serious ,0
cool kind complaint laptop online overheat recall ,0
emily glad mommy training new job miss ,0
would rather first party send bad message 3rd party send mixed one sophmore year ,0
overrate ,0
know hear afternoon wonder thing moscow behind time ,0
